week,Golden State Warriors,Houston Rockets,Toronto Raptors,Boston Celtics,San Antonio Spurs,Cleveland Cavaliers,Minnesota Timberwolves,Washington Wizards,Milwaukee Bucks,Indiana Pacers,Oklahoma City Thunder,Portland Trail Blazers,Denver Nuggets,Miami Heat,Philadelphia 76ers,New Orleans Pelicans,Los Angeles Clippers,Detroit Pistons,Utah Jazz,Charlotte Hornets,Los Angeles Lakers,New York Knicks,Chicago Bulls,Brooklyn Nets,Memphis Grizzlies,Orlando Magic,Dallas Mavericks,Phoenix Suns,Sacramento Kings,Atlanta Hawks
1,21,1,1,21,1,7,13,1,7,21,13,7,13,13,25,25,1,7,7,13,13,25,25,13,1,7,25,25,21,13
2,6,5,10,6,2,13,13,10,10,19,13,6,19,19,23,13,2,6,13,19,23,26,27,13,1,2,30,23,27,29
3,2,2,8,1,10,21,5,16,21,10,16,10,16,25,10,16,8,2,10,10,21,16,27,26,5,5,30,21,28,28
4,2,2,5,1,6,18,9,9,14,18,21,14,6,14,14,13,21,4,18,21,24,9,28,24,9,6,29,26,27,29
5,3,2,4,1,7,10,4,8,12,15,18,10,8,18,12,15,26,4,21,22,24,12,28,22,18,15,30,25,27,29
6,3,2,5,1,5,5,10,14,16,12,19,9,10,16,8,12,23,4,18,19,19,14,30,26,23,22,28,25,27,29
7,3,2,6,1,5,4,11,13,10,15,19,11,8,18,8,15,21,7,15,21,23,14,30,23,26,20,28,25,27,29
8,3,1,6,2,4,4,8,12,7,8,17,13,10,17,13,15,23,10,16,24,20,17,30,20,27,22,28,25,26,29
9,2,1,5,3,6,4,7,8,14,8,18,8,8,15,16,16,20,8,19,24,22,8,28,20,27,23,29,25,26,30
10,2,1,4,3,6,5,7,11,10,8,11,15,11,15,19,15,20,9,18,22,23,14,27,21,28,26,29,25,24,30
11,1,3,4,2,5,6,7,10,9,12,10,15,12,12,18,16,19,8,20,22,26,16,22,22,29,26,26,21,25,30
12,1,4,3,2,5,6,7,8,10,15,9,14,13,10,16,16,19,10,20,21,29,18,24,22,27,28,26,23,25,30
13,1,3,4,2,5,7,6,9,10,13,12,13,15,8,18,15,17,10,20,21,25,19,22,22,27,29,26,22,28,30
14,1,3,4,2,5,7,6,9,15,14,9,11,17,8,13,12,15,17,20,21,25,19,22,23,25,28,27,23,28,28
15,1,2,4,3,5,7,6,11,15,13,8,11,16,9,14,10,17,18,20,21,22,19,23,24,25,29,27,26,28,30
16,1,2,4,3,5,7,6,8,12,11,9,10,15,13,17,14,16,18,19,21,22,20,25,23,24,29,27,26,28,30
17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,26,27,28,29,30