year,rating,efg
1976-77,99.5,46.5
1977-78,100.9,46.9
1978-79,103.8,48.5
1979-80,105.3,48.6
1980-81,105.5,48.9
1981-82,106.9,49.4
1982-83,104.7,48.8
1983-84,107.6,49.5
1984-85,107.9,49.6
1985-86,107.2,49.3
1986-87,108.3,48.8
1987-88,108.1,49
1988-89,107.8,48.9
1989-90,108.1,48.9
1990-91,107.9,48.8
1991-92,108.2,48.7
1992-93,108,49.1
1993-94,106.3,48.5
1994-95,108.2,50
1995-96,107.7,49.9
1996-97,106.7,49.3
1997-98,105.1,47.8
1998-99,102.2,46.6
1999-00,104.1,47.8
2000-01,103,47.3
2001-02,104.5,47.7
2002-03,103.6,47.4
2003-04,102.9,47.1
2004-05,106.1,48.2
2005-06,106.2,49
2006-07,106.4,49.6
2007-08,107.5,49.7
2008-09,108.3,50
2009-10,107.6,50.1
2010-11,107.3,49.9
2011-12,104.6,48.7
2012-13,105.8,49.7
2013-14,106.7,50.1
2014-15,105.6,49.6
2015-16,106.4,50.3
2016-17,108.8,51.4
2017-18,108.5,52.1