Rank,,Team,PPG,OFFrtg,PPS,eFG%,TS%
1,,Golden State Warriors,2,1,1,1,1
2,,Warriors (2017),1,2,3,2,2
3,,Houston Rockets,3,3,2,3,3
4,,Cleveland Cavaliers,8,7,4,4,4
5,,New Orleans Pelicans,5,12,8,5,5
6,,Toronto Raptors,4,6,9,8,6
7,,Warriors (2015),6,8,11,6,7
8,,Suns (2006),10,4,17,10,8
9,,Milwaukee Bucks,23,13,6,11,9
10,,Minnesota Timberwolves,9,5,7,14,10
11,,Suns (2005),7,9,5,7,11
12,,Indiana Pacers,16,10,13,9,12
13,,Denver Nuggets,12,11,14,12,13
14,,Philadelphia 76ers,13,19,12,13,14
15,,LA Clippers,11,15,10,15,15
16,,Utah Jazz,27,18,16,17,16
17,,Washington Wizards,14,16,15,16,17
18,,Average,19,17,18,18,18
19,,Orlando Magic,20,23,19,19,19
20,,Atlanta Hawks,25,27,23,22,20
21,,Portland Trail Blazers,22,20,21,25,21
22,,Miami Heat,33,30,27,20,22
23,,Boston Celtics,30,26,25,23,23
24,,Dallas Mavericks,31,25,30,21,24
25,,San Antonio Spurs,32,21,28,27,25
26,,New York Knicks,26,28,31,29,26
27,,Oklahoma City Thunder,17,14,20,24,27
28,,Brooklyn Nets,21,29,26,31,28
29,,Memphis Grizzlies,34,32,24,32,29
30,,Detroit Pistons,28,24,29,26,30
31,,Los Angeles Lakers,15,31,32,28,31
32,,Charlotte Hornets,18,22,22,34,32
33,,Phoenix Suns,24,34,33,35,33
34,,Chicago Bulls,29,33,34,33,34
35,,Sacramento Kings,35,35,35,30,35